"tau_k","epsilon","seed","out_S1","alpha_S1","out_S2","alpha_S2","out_S3","alpha_S3","out_S4","alpha_S4","out_S5","alpha_S5","out_S6","alpha_S6","out_S7","alpha_S7","out_S8","alpha_S8","out_S9","alpha_S9","gini_g1_S5","gini_g1_S8","fwd_vs_myo_P","fwd_vs_myo_PG","fwd_vs_myo_PS","signal_myo","signal_fwd","seed_myo","seed_fwd","optimal_vs_naive"
0.1,0.05,21,89.1380992545682,NA,110.461173536994,0.5,108.297493321367,0.5,113.164522868335,0.5,120.847452010083,0.5,112.355640730488,0.5,111.675226627499,0.5,120.814085154298,0.5,112.804712409792,0.5,0.398,0.394545454545455,-1.48929624083615,-0.0333668557847773,0.449071679304552,7.68292914174782,9.1388585267992,-0.808882137847021,1.12948578229368,12.5165918329304
0.1,0.05,22,79.3897746574638,NA,101.377821506122,0.5,103.526772323016,0.5,103.917925760758,0.5,118.528410055374,0.5,103.346853886378,0.5,104.250450946684,0.5,118.464980166762,0.5,102.711351160381,0.5,0.542857142857143,0.54,0.332525185925988,-0.0634298886112248,-0.635502725996574,14.6104842946152,14.214529220078,-0.571071874380692,-1.53909978630325,14.9382078437465
0.1,0.05,23,90.3236222116668,NA,113.43460426168,0.5,113.428923614763,0.5,114.778752698667,0.5,124.392594343167,0.5,114.73776967031,0.5,113.934865127492,0.5,124.515553486727,0.5,114.12558376493,0.5,0.466666666666667,0.494,-0.843887571175202,0.122959143560166,-0.612185905380073,9.6138416445,10.5806883592354,-0.0409830283570614,0.190718637438067,11.0866298719636
0.1,0.05,24,78.967425697543,NA,97.8891881413786,0.5,94.5912628696347,0.5,98.9020737328663,0.5,102.190106109564,0.5,98.9930265723971,0.5,98.8180192319297,0.5,102.195833833368,0.5,97.8374257276622,0.5,0.29125,0.327741935483871,-0.0840545009366167,0.00572772380363062,-1.15560084473496,3.28803237669796,3.3778146014382,0.0909528395308428,-0.980593504267503,7.60457096373314
0.1,0.05,25,75.2023872742758,NA,97.0484845242806,0.5,94.1165209559222,0.5,97.7276850991593,0.5,107.340999370892,0.5,96.61089549243,0.5,97.1241212039948,0.5,106.977031077347,0.5,95.1269588072743,0.5,0.494736842105263,0.452727272727273,-0.603563895164513,-0.363968293544403,-1.48393668515567,9.61331427173235,9.85290987335246,-1.11678960672928,-1.99716239672044,12.8605101214251
0.1,0.05,26,88.8197333656339,NA,112.030582047785,0.5,113.453018121161,0.499999999999999,114.090892736579,0.5,129.332881969077,0.5,114.236953287049,0.5,113.512258354183,0.5,129.218122344128,0.5,113.074196466253,0.5,0.568571428571429,0.554666666666667,-0.578634382395748,-0.114759624948931,-1.16275682079564,15.2419892324982,15.705863989945,0.146060550469755,-0.438061887930132,15.7651042229673
0.1,0.05,27,79.811348768496,NA,99.2068329930358,0.5,98.2220025700302,0.5,100.287921065003,0.5,108.933814580222,0.5,100.853924273931,0.5,100.97219493756,0.5,108.877554622857,0.5,101.191340713254,0.5,0.443809523809524,0.452,0.684273872556247,-0.056259957364631,0.337416439322851,8.64589351521832,7.90535968529744,0.566003208927654,0.219145775694258,10.6555520528269
0.1,0.05,28,79.5536766294286,NA,100.474499239686,0.5,98.5561233874466,0.5,101.71226588552,0.5,106.27416202682,0.5,100.700043629061,0.5,101.673525491053,0.5,106.10421614525,0.5,100.457420021867,0.5,0.3344,0.336,-0.0387403944662026,-0.169945881569475,-0.242623607193835,4.56189614130028,4.43069065419701,-1.01222225645911,-1.21610546918674,7.54809275780383
0.1,0.05,29,78.6896869408257,NA,102.941481537157,0.5,103.153665153335,0.499999999999999,104.780924996993,0.5,114.841192003565,0.5,104.181207386028,0.5,104.38617711943,0.5,114.899975859018,0.5,105.930131951609,0.5,0.463529411764706,0.457777777777778,-0.394747877563177,0.0587838554524609,1.74892456558108,10.0602670065721,10.5137987395877,-0.599717610965158,1.5439548321791,11.746310705683
0.1,0.05,30,75.2368945876496,NA,95.1612548812741,0.5,91.8471151379588,0.5,97.1657503114822,0.5,100.698701199462,0.5,97.3460618607429,0.5,97.1811695735407,0.5,100.766678555105,0.5,96.9486398475209,0.5,0.366153846153846,0.3728,0.0154192620585718,0.0679773556428245,-0.397422013222055,3.53295088798028,3.58550898156453,0.18031154926075,-0.232529726019877,8.91956341714651
0.1,0.05,31,76.1751429389553,NA,96.1809200516852,0.5,91.6772450228167,0.5,96.6452805355602,0.5,100.075227831618,0.5,95.8834646637537,0.5,97.0015834516031,0.5,100.156234905363,0.5,96.4249799302579,0.5,0.298064516129032,0.298064516129032,0.356302916042878,0.0810070737452975,0.54151526650422,3.42994729605769,3.15465145376011,-0.761815871806576,-0.576603521345234,8.4789898825465
0.1,0.05,32,84.9729193418102,NA,109.886266539943,0.5,104.662389169872,0.5,111.609491443232,0.5,118.019463191607,0.5,111.312897191158,0.5,110.405868509707,0.5,117.808957287729,0.5,110.888152745104,0.5,0.420869565217391,0.392,-1.2036229335243,-0.210505903878072,-0.424744446054191,6.40997174837571,7.40308877802194,-0.29659425207312,0.482284235396989,13.1465681178568
0.1,0.05,33,83.6404955273909,NA,104.17050142144,0.5,102.76614517487,0.5,104.89413653704,0.5,109.18957665388,0.5,104.803043287152,0.5,104.320487832961,0.5,109.310836758822,0.5,103.471460124168,0.5,0.342857142857143,0.334814814814815,-0.573648704079318,0.121260104942536,-1.33158316298429,4.29544011683956,4.99034892586141,-0.0910932498879191,-0.849027708792889,6.5446915839522
